rst;solar;temp;press;hptr;alt;lat;lon;gs;stations;time;
113;0.3212549019607843;12.5;996;11;144.61819668926572;0;0;1;2;1727015259;
113;0.2911372549019608;12.5;996;13;144.61819668926572;0;0;1;1;1727015442;
119;0.3011764705882353;12.5;996;25;144.61819668926572;0;0;0;1;1727016289;
119;0.2911372549019608;12.5;996;27;144.61819668926572;0;0;0;4;1727016471;
119;0.28109803921568627;12.5;996;28;144.61819668926572;0;0;0;3;1727016563;
127;0.3011764705882353;35.0;984;5;246.42293058939018;0;0;0;2;1727017833;
136;0.1807058823529412;22.5;984;15;246.42293058939018;0;0;1;1;1727023678;
136;0.1807058823529412;22.5;984;16;246.42293058939018;0;0;1;1;1727023770;
136;0.17066666666666666;22.5;984;17;246.42293058939018;0;0;1;1;1727023861;
136;0.16062745098039216;22.5;984;18;246.42293058939018;0;0;0;2;1727023952;
136;0.15058823529411766;22.5;984;19;246.42293058939018;0;0;0;2;1727024043;
136;0.14054901960784313;22.5;984;20;246.42293058939018;0;0;0;1;1727024135;
136;0.12047058823529412;22.5;984;21;246.42293058939018;0;0;0;2;1727024225;
136;0.11043137254901961;22.0;984;22;246.42293058939018;0;0;0;1;1727024316;
136;0.11043137254901961;22.0;984;23;246.42293058939018;0;0;0;2;1727024407;
136;0.0903529411764706;22.0;984;24;246.42293058939018;0;0;0;2;1727024498;
136;0.08031372549019608;22.0;984;25;246.42293058939018;0;0;0;2;1727024589;
136;0.08031372549019608;22.0;984;26;246.42293058939018;0;0;0;2;1727024680;
136;0.07027450980392157;22.0;984;27;246.42293058939018;0;0;0;2;1727024770;
136;0.06023529411764706;22.0;984;28;246.42293058939018;0;0;0;1;1727024863;
136;0.1003921568627451;22.5;984;29;246.42293058939018;0;0;0;1;1727024953;
136;0.05019607843137255;22.5;984;30;246.42293058939018;0;0;0;1;1727025045;
136;0.05019607843137255;22.5;984;31;246.42293058939018;0;0;0;2;1727025135;
136;0.05019607843137255;22.0;984;0;246.42293058939018;0;0;0;2;1727025226;
136;0.05019607843137255;22.0;984;1;246.42293058939018;0;0;0;1;1727025318;
136;0.04015686274509804;22.5;984;2;246.42293058939018;0;0;0;1;1727025408;
136;0.04015686274509804;22.5;984;3;246.42293058939018;0;0;0;1;1727025500;
136;0.04015686274509804;22.5;984;4;246.42293058939018;0;0;0;1;1727025590;
136;0.04015686274509804;22.5;984;5;246.42293058939018;0;0;0;1;1727025683;
136;0.04015686274509804;22.5;984;6;246.42293058939018;0;0;0;1;1727025773;
136;0.04015686274509804;22.5;984;7;246.42293058939018;0;0;0;1;1727025864;
136;0.04015686274509804;22.5;984;8;246.42293058939018;0;0;0;2;1727025955;
136;0.04015686274509804;22.0;984;9;246.42293058939018;0;0;0;2;1727026046;
136;0.0903529411764706;22.5;984;10;246.42293058939018;0;0;0;1;1727026137;
136;0.1807058823529412;22.5;984;11;246.42293058939018;0;0;0;2;1727026228;
136;0.1807058823529412;22.5;984;12;246.42293058939018;0;0;0;2;1727026319;
136;0.17066666666666666;22.5;984;13;246.42293058939018;0;0;0;1;1727026410;
136;0.17066666666666666;22.0;984;14;246.42293058939018;0;0;0;1;1727026502;
136;0.16062745098039216;22.5;984;15;246.42293058939018;0;0;0;2;1727026592;
136;0.16062745098039216;22.0;984;16;246.42293058939018;0;0;0;1;1727026685;
136;0.16062745098039216;22.0;984;17;246.42293058939018;0;0;0;2;1727026774;
136;0.16062745098039216;22.0;984;18;246.42293058939018;0;0;0;1;1727026866;
136;0.16062745098039216;22.0;984;19;246.42293058939018;0;0;0;1;1727026957;
136;0.16062745098039216;22.0;984;20;246.42293058939018;0;0;0;1;1727027048;
136;0.16062745098039216;22.5;984;21;246.42293058939018;0;0;0;1;1727027140;
136;0.16062745098039216;22.5;984;23;246.42293058939018;0;0;0;2;1727027318;
136;0.16062745098039216;22.5;984;24;246.42293058939018;0;0;0;1;1727027410;
136;0.16062745098039216;22.5;984;25;246.42293058939018;0;0;0;2;1727027500;
136;0.16062745098039216;22.5;984;26;246.42293058939018;0;0;0;2;1727027591;
136;0.16062745098039216;22.0;984;27;246.42293058939018;0;0;0;1;1727027685;
136;0.16062745098039216;22.0;984;28;246.42293058939018;0;0;0;2;1727027773;
136;0.16062745098039216;22.0;984;29;246.42293058939018;0;0;0;1;1727027864;
136;0.16062745098039216;22.0;984;30;246.42293058939018;0;0;0;1;1727027956;
136;0.16062745098039216;22.0;984;31;246.42293058939018;0;0;0;2;1727028046;
136;0.16062745098039216;22.0;984;0;246.42293058939018;0;0;0;2;1727028137;
137;0.23090196078431371;22.5;984;2;246.42293058939018;0;0;1;1;1727028279;
